PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 409889621, 1.1616923809051514, -3.377992630004883, 172.17739868164062, 0, 0, 0, 0, 0, 0, 
1, 409906288, 1.1487782001495361, -3.353793144226074, 172.0685272216797, 0.5761128067970276, 0.11982697993516922, 9.798720359802246, 0.5218139290809631, 0.9750818610191345, 1.3768681287765503, 
2, 409922955, 1.0673068761825562, -3.3289830684661865, 172.13377380371094, 0.5440450310707092, 0.09574668854475021, 9.835528373718262, 0.5794680714607239, 1.3537014722824097, 1.271920084953308, 
3, 409939622, 0.9664338827133179, -3.2730767726898193, 172.14633178710938, 0.5342444181442261, 0.1143854558467865, 9.914470672607422, 0.4473065733909607, 1.865161657333374, 0.8283594846725464, 
4, 409956289, 0.8942962884902954, -3.218156337738037, 172.19985961914062, 0.5303180813789368, 0.15942507982254028, 10.000750541687012, 0.3526804745197296, 1.4685490131378174, 0.7710383534431458, 
5, 409972956, 0.8648405075073242, -3.1713755130767822, 172.2616729736328, 0.5167387127876282, 0.17867493629455566, 10.007299423217773, 0.38855108618736267, 1.1176421642303467, 0.49906986951828003, 
6, 409989623, 0.8592084646224976, -3.130695343017578, 172.2709197998047, 0.5264737606048584, 0.18702223896980286, 9.987322807312012, 0.34955570101737976, 0.8817108273506165, 0.6901149749755859, 
7, 410006290, 0.8547183275222778, -3.0941860675811768, 172.28018188476562, 0.5182437896728516, 0.1869075447320938, 9.981966972351074, -0.3638284206390381, 1.0317115783691406, 0.4302613139152527, 
8, 410022957, 0.8593664169311523, -3.067390203475952, 172.25576782226562, 0.5304731130599976, 0.19823989272117615, 10.014117240905762, -0.1429060399532318, 0.6813937425613403, 0.32984670996665955, 
9, 410039624, 0.8672807216644287, -3.0545663833618164, 172.2989501953125, 0.5414842963218689, 0.23434528708457947, 9.995013236999512, -0.15532821416854858, 0.11674907803535461, 0.42921119928359985, 
10, 410056291, 0.8806004524230957, -3.0470683574676514, 172.30474853515625, 0.517366349697113, 0.17984746396541595, 9.937339782714844, -0.11232449114322662, 0.0659462958574295, 0.693188488483429, 
11, 410072958, 0.8976657390594482, -3.040208339691162, 172.30909729003906, 0.5236390233039856, 0.16656900942325592, 9.914494514465332, 0.25275254249572754, 0.08250491321086884, 0.4601001739501953, 
12, 410089625, 0.9109172821044922, -3.036958694458008, 172.28041076660156, 0.5546731352806091, 0.17899999022483826, 9.885273933410645, 0.19594356417655945, -0.051801685243844986, 0.46989700198173523, 
13, 410106292, 0.9209874272346497, -3.0337188243865967, 172.24278259277344, 0.5474708676338196, 0.1502007097005844, 9.866037368774414, 0.1049032062292099, 0.12712222337722778, 0.7475641965866089, 
14, 410122959, 0.9360514879226685, -3.0298397541046143, 172.2113494873047, 0.5295969843864441, 0.10466843843460083, 9.859624862670898, 0.5504617094993591, 0.25490397214889526, 0.5547006130218506, 
15, 410139626, 0.9455028772354126, -3.017317056655884, 172.20835876464844, 0.52907395362854, 0.15016713738441467, 9.823997497558594, 0.4266243278980255, 0.782781720161438, 0.17398066818714142, 
16, 410156293, 0.9411067962646484, -2.996640682220459, 172.20985412597656, 0.5609428286552429, 0.15722136199474335, 9.904759407043457, -0.36039629578590393, 1.2841119766235352, -0.12173717468976974, 
17, 410172960, 0.9437901973724365, -2.981105089187622, 172.21142578125, 0.5676875710487366, 0.22366760671138763, 9.997442245483398, 0.09721940010786057, 1.0480395555496216, -0.07740157097578049, 
18, 410189627, 0.9638820886611938, -2.977529764175415, 172.2233428955078, 0.570708692073822, 0.23797012865543365, 9.988349914550781, 1.0760408639907837, 0.39894339442253113, 0.461617648601532, 
19, 410206294, 0.9911597967147827, -2.979480504989624, 172.2375946044922, 0.5711929202079773, 0.24034680426120758, 9.909581184387207, 1.4530084133148193, 0.12399107962846756, 1.0485455989837646, 
20, 410222961, 1.0079538822174072, -2.9649345874786377, 172.2596435546875, 0.5440847277641296, 0.1940167248249054, 9.84823989868164, 0.7729911804199219, 1.1566567420959473, 1.2110580205917358, 
21, 410239628, 1.0223090648651123, -2.943669319152832, 172.28736877441406, 0.5314069986343384, 0.16045846045017242, 9.912537574768066, 0.6524900197982788, 1.558616042137146, 1.2661446332931519, 
22, 410256295, 1.0436598062515259, -2.92423677444458, 172.2673797607422, 0.5048260688781738, 0.1227048933506012, 9.93468952178955, 1.1206772327423096, 1.4268900156021118, 1.0460803508758545, 
23, 410272962, 1.0747448205947876, -2.9128997325897217, 172.25448608398438, 0.5032588839530945, 0.1542482227087021, 9.976856231689453, 1.779064655303955, 0.8936207890510559, 0.719774603843689, 
24, 410289629, 1.1255651712417603, -2.905719757080078, 172.24107360839844, 0.4868507385253906, 0.15735343098640442, 9.888895988464355, 3.006194829940796, 0.6098833084106445, 0.6759512424468994, 
25, 410306296, 1.169385552406311, -2.885190963745117, 172.22215270996094, 0.5176190137863159, 0.18936371803283691, 9.827655792236328, 2.6209540367126465, 1.3730263710021973, 0.5775215029716492, 
26, 410322963, 1.2035207748413086, -2.8560304641723633, 172.23011779785156, 0.5090842247009277, 0.21839329600334167, 9.8651762008667, 2.0612781047821045, 1.8947829008102417, 0.7795673608779907, 
27, 410339630, 1.235840916633606, -2.826510429382324, 172.24005126953125, 0.5342040061950684, 0.19483524560928345, 9.960896492004395, 1.934187889099121, 1.9060652256011963, 0.5578253865242004, 
28, 410356297, 1.243443489074707, -2.7985994815826416, 172.24160766601562, 0.5020855665206909, 0.18048939108848572, 10.010453224182129, 0.4430292248725891, 1.811016321182251, 0.08482285588979721, 
29, 410372964, 1.245460867881775, -2.777147054672241, 172.2142333984375, 0.4574928283691406, 0.19525732100009918, 9.993786811828613, 0.11300964653491974, 1.4051448106765747, -0.32502517104148865, 
30, 410389631, 1.2657692432403564, -2.754957437515259, 172.183349609375, 0.46252456307411194, 0.18366003036499023, 9.980408668518066, 1.2128698825836182, 1.414313793182373, -0.505876362323761, 
31, 410406298, 1.3109098672866821, -2.7346444129943848, 172.16305541992188, 0.455886572599411, 0.1765470653772354, 9.997014999389648, 2.701045036315918, 1.2707549333572388, -0.9360289573669434, 
32, 410422965, 1.3443626165390015, -2.722625970840454, 172.1284637451172, 0.5090462565422058, 0.20239344239234924, 9.969918251037598, 1.9952869415283203, 0.7398291826248169, -1.455236792564392, 
33, 410439632, 1.3498125076293945, -2.7531909942626953, 172.0773162841797, 0.5508292317390442, 0.13188065588474274, 10.029291152954102, 0.22073668241500854, -1.8533351421356201, -3.5277786254882812, 
34, 410456299, 1.3582682609558105, -2.825756072998047, 171.9572296142578, 0.4465208351612091, 0.27596867084503174, 9.940719604492188, 0.27809634804725647, -4.425619125366211, -6.7632904052734375, 
35, 410472966, 1.3968108892440796, -2.8986454010009766, 171.87330627441406, 0.46693193912506104, 0.17695732414722443, 9.9583158493042, 2.137066602706909, -4.428117275238037, -4.957518577575684, 
36, 410489633, 1.4415251016616821, -3.0528366565704346, 171.67080688476562, 0.4698594808578491, -0.12431805580854416, 10.055999755859375, 2.1797895431518555, -9.486271858215332, -11.272579193115234, 
37, 410506300, 1.6897144317626953, -3.2690975666046143, 171.301513671875, 0.32674479484558105, 0.20229211449623108, 10.015380859375, 13.911942481994629, -13.545249938964844, -21.52525520324707, 
38, 410522967, 2.1102912425994873, -3.4738032817840576, 171.06459045410156, 0.7195383310317993, 0.5378092527389526, 9.902873039245605, 24.50579833984375, -12.876818656921387, -15.93936538696289, 
39, 410539634, 2.2908992767333984, -3.6723856925964355, 170.9013671875, 0.6494425535202026, 0.4396437108516693, 9.71348762512207, 10.29996109008789, -12.332632064819336, -10.439813613891602, 
40, 410556301, 2.4423916339874268, -3.787755250930786, 170.8389892578125, 0.6418712735176086, 0.29652857780456543, 9.8705472946167, 8.736837387084961, -7.205253601074219, -6.828350067138672, 
41, 410572968, 2.496258497238159, -3.867225408554077, 170.80213928222656, 0.6264916658401489, 0.36802026629447937, 9.765230178833008, 2.9440457820892334, -5.032358169555664, -6.1326799392700195, 
42, 410589635, 2.4914283752441406, -3.945128917694092, 170.7786865234375, 0.7955138683319092, 0.5737962126731873, 10.083932876586914, -0.3832300305366516, -4.822679042816162, -3.239776372909546, 
43, 410606302, 2.6004490852355957, -4.031886100769043, 170.86602783203125, 0.8035021424293518, 0.7445535063743591, 9.921258926391602, 6.819493293762207, -5.056845188140869, 2.8652617931365967, 
44, 410622969, 2.6663951873779297, -4.147675514221191, 170.93215942382812, 0.6408601403236389, 0.44318851828575134, 9.932456970214844, 4.149533271789551, -6.76530122756958, 2.930086612701416, 
45, 410639636, 2.7186055183410645, -4.256345272064209, 171.08433532714844, 0.6976671814918518, 0.27082914113998413, 9.835749626159668, 3.2506682872772217, -6.413049697875977, 1.7919223308563232, 
46, 410656303, 2.716114044189453, -4.269015789031982, 171.20822143554688, 0.7676116824150085, 0.3816283047199249, 9.47053337097168, -0.010975041426718235, -0.6837565898895264, 1.1327663660049438, 
47, 410672970, 2.6502623558044434, -4.2344651222229, 171.24432373046875, 0.7934992909431458, 0.370879203081131, 10.017444610595703, -3.8792998790740967, 2.1125290393829346, -0.09784051775932312, 
48, 410689637, 2.598595380783081, -4.232773780822754, 171.32742309570312, 0.8510721325874329, 0.6705818772315979, 9.94843864440918, -2.8830037117004395, 0.2301493138074875, 1.712010383605957, 
49, 410706304, 2.5493216514587402, -4.2296576499938965, 171.41676330566406, 0.82428377866745, 0.6433992385864258, 9.994013786315918, -2.673043966293335, 0.4084649682044983, 3.276587963104248, 
50, 410722971, 2.5404746532440186, -4.2528862953186035, 171.5022735595703, 0.7709247469902039, 0.4807780086994171, 9.99406623840332, -0.20833373069763184, -1.1099905967712402, 4.441390037536621, 
51, 410739638, 2.5288283824920654, -4.266136169433594, 171.5712432861328, 0.7147092819213867, 0.23237957060337067, 9.75633430480957, -0.5482398867607117, -0.6109909415245056, 2.194733142852783, 
52, 410756305, 2.4594812393188477, -4.270113468170166, 171.58157348632812, 0.6932212114334106, 0.25266724824905396, 9.889823913574219, -4.238863468170166, -0.22117845714092255, -1.4369876384735107, 
53, 410772972, 2.452563762664795, -4.291589736938477, 171.59396362304688, 0.7145485281944275, 0.4215202331542969, 9.895859718322754, -0.43670937418937683, -1.2683666944503784, -1.0663080215454102, 
54, 410789639, 2.4155526161193848, -4.285279750823975, 171.60205078125, 0.7518376111984253, 0.3357238471508026, 9.752676010131836, -2.1894118785858154, 0.42210373282432556, -0.41212114691734314, 
55, 410806306, 2.3332760334014893, -4.269948482513428, 171.59324645996094, 0.615064799785614, 0.2316291183233261, 9.953069686889648, -5.047674655914307, 0.8767547607421875, -2.473508358001709, 
56, 410822973, 2.2311737537384033, -4.250749588012695, 171.5536651611328, 0.6856544613838196, 0.2607782781124115, 9.861482620239258, -6.331960201263428, 1.022337555885315, -4.112030029296875, 
57, 410839640, 2.1050171852111816, -4.229288101196289, 171.50437927246094, 0.662787139415741, 0.39138275384902954, 10.006816864013672, -7.786904335021973, 1.1411421298980713, -4.543015480041504, 
58, 410856307, 2.012089967727661, -4.202914237976074, 171.4769744873047, 0.7184651494026184, 0.3891722857952118, 10.04859733581543, -5.713374137878418, 1.4719812870025635, -3.390827178955078, 
59, 410872974, 1.9860444068908691, -4.176617622375488, 171.4710693359375, 0.7117552161216736, 0.39558619260787964, 9.999589920043945, -1.6481130123138428, 1.4940334558486938, -2.571028470993042, 
60, 410889641, 1.9521714448928833, -4.149332046508789, 171.45118713378906, 0.7132298946380615, 0.40738627314567566, 9.953930854797363, -2.1192588806152344, 1.5562981367111206, -2.471740961074829, 
61, 410906308, 1.9224390983581543, -4.1181254386901855, 171.42393493652344, 0.791212260723114, 0.42724552750587463, 10.037019729614258, -1.8980547189712524, 1.7839566469192505, -2.6837244033813477, 
62, 410922975, 1.9156670570373535, -4.088901996612549, 171.40965270996094, 0.773529052734375, 0.4432043731212616, 10.032848358154297, -0.48780667781829834, 1.6971678733825684, -2.0383355617523193, 
63, 410939642, 1.912844181060791, -4.049951553344727, 171.41726684570312, 0.7608340382575989, 0.40250661969184875, 10.002964973449707, -0.1819526106119156, 2.3278422355651855, -0.8450014591217041, 
64, 410956309, 1.9094455242156982, -3.9942843914031982, 171.41506958007812, 0.7023147940635681, 0.26588860154151917, 9.868316650390625, -0.29750433564186096, 3.302635908126831, -1.8531174659729004, 
65, 410972976, 1.8990113735198975, -3.9143972396850586, 171.3723907470703, 0.7061792016029358, 0.25848615169525146, 9.793081283569336, -0.8217708468437195, 4.701218605041504, -3.5529942512512207, 
66, 410989643, 1.9164522886276245, -3.8202459812164307, 171.3296356201172, 0.7328889966011047, 0.40745338797569275, 9.830578804016113, 0.8827610015869141, 5.569591045379639, -3.3246185779571533, 
67, 411006310, 1.9847890138626099, -3.7434961795806885, 171.32278442382812, 0.7445700764656067, 0.4618734121322632, 9.958490371704102, 4.058697700500488, 4.597960472106934, -1.3210391998291016, 
68, 411022977, 2.055738687515259, -3.708855152130127, 171.31971740722656, 0.7379452586174011, 0.4072311520576477, 9.9094877243042, 4.282155990600586, 2.126744508743286, 0.04083304852247238, 
69, 411039644, 2.1099061965942383, -3.686306953430176, 171.32398986816406, 0.7162265181541443, 0.4116910398006439, 9.879465103149414, 3.2625646591186523, 1.4075394868850708, -0.038956914097070694, 
70, 411056311, 2.154871702194214, -3.6638996601104736, 171.334228515625, 0.7020899653434753, 0.4552411139011383, 9.865933418273926, 2.7583019733428955, 1.4398115873336792, 0.823467493057251, 
71, 411072978, 2.174428939819336, -3.6305136680603027, 171.3357391357422, 0.6730910539627075, 0.37152042984962463, 9.816808700561523, 1.223973274230957, 2.1038076877593994, 0.7873663306236267, 
72, 411089645, 2.1760504245758057, -3.5870091915130615, 171.31610107421875, 0.6883323788642883, 0.39636337757110596, 9.846768379211426, 0.1245993822813034, 2.701889991760254, 0.3997182250022888, 
73, 411106312, 2.166638135910034, -3.5446579456329346, 171.31698608398438, 0.6866685152053833, 0.3855764865875244, 9.879555702209473, -0.5392369627952576, 2.637115716934204, 0.4328610599040985, 
74, 411122979, 2.157515048980713, -3.4932003021240234, 171.30889892578125, 0.659429669380188, 0.3613162636756897, 9.827649116516113, -0.5574987530708313, 3.1687071323394775, -0.12925447523593903, 
